FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CHO,CUA,CUT,FAC,GAM,HGM,INN,IZT,LLA,LPR,MER,MGH,MPA,PED,SAG,SFE,TAH,TLA,TLI,UIZ,VIF,XAL
01/01/2018,1,125,92,-99,78,-99,-99,137,100,52,-99,96,48,-99,-99,-99,114,91,-99,-99,101,86,172,90,136,-99,137,67
01/01/2018,2,98,95,-99,73,-99,-99,111,187,37,-99,85,47,-99,-99,-99,108,67,-99,-99,117,61,138,127,157,-99,175,58
01/01/2018,3,88,81,-99,82,-99,-99,85,100,64,-99,92,36,-99,-99,-99,110,74,-99,-99,98,51,249,134,168,-99,166,50
01/01/2018,4,82,59,55,87,-99,-99,58,75,48,-99,102,31,-99,-99,-99,113,80,-99,-99,87,47,150,105,210,-99,170,63
01/01/2018,5,96,48,57,69,-99,-99,52,134,42,-99,95,23,-99,-99,-99,107,64,-99,-99,97,44,175,56,161,-99,119,111
01/01/2018,6,88,46,51,62,-99,-99,84,144,39,-99,55,25,-99,-99,-99,78,62,-99,-99,71,41,128,82,132,-99,54,105
01/01/2018,7,86,71,26,55,-99,-99,62,132,31,-99,71,21,-99,-99,-99,77,66,-99,-99,41,30,110,63,71,-99,49,101
01/01/2018,8,71,100,32,52,-99,-99,36,152,-99,-99,65,19,-99,-99,-99,70,64,-99,-99,58,38,93,50,65,-99,49,110
01/01/2018,9,55,102,72,54,-99,-99,58,217,-99,-99,62,17,-99,-99,-99,-99,59,-99,-99,69,67,99,61,69,-99,51,90
01/01/2018,10,47,96,76,67,-99,-99,65,32,54,-99,80,27,-99,-99,-99,69,62,-99,-99,41,71,95,55,72,-99,30,116
01/01/2018,11,37,102,33,77,-99,-99,36,-99,30,-99,75,54,-99,-99,-99,102,79,-99,-99,68,51,47,66,42,-99,30,110
01/01/2018,12,34,85,59,80,-99,-99,40,38,40,-99,80,67,-99,-99,-99,92,84,-99,-99,57,52,74,78,49,-99,20,98
01/01/2018,13,27,76,53,77,-99,-99,58,37,56,-99,84,71,-99,-99,-99,93,77,-99,-99,55,58,71,72,42,-99,23,51
01/01/2018,14,21,66,56,86,-99,-99,48,49,47,-99,79,74,-99,-99,-99,86,80,-99,-99,58,66,59,65,31,-99,47,55
01/01/2018,15,23,65,53,71,-99,-99,59,27,33,-99,65,84,-99,-99,-99,78,78,-99,-99,38,77,52,46,70,-99,47,43
01/01/2018,16,31,66,52,70,-99,-99,73,31,45,-99,55,88,-99,-99,-99,68,67,-99,-99,54,85,45,52,52,-99,5,44
01/01/2018,17,41,57,51,56,-99,-99,65,72,46,-99,57,99,-99,-99,-99,36,51,-99,-99,49,77,49,40,29,-99,73,48
01/01/2018,18,52,63,73,41,-99,-99,60,28,46,-99,40,97,-99,-99,-99,47,46,-99,-99,41,61,51,46,65,-99,64,64
01/01/2018,19,60,70,52,47,-99,-99,44,69,83,-99,38,87,-99,-99,-99,47,52,-99,-99,50,57,85,48,84,-99,59,59
01/01/2018,20,46,60,41,63,-99,-99,24,39,33,-99,50,61,-99,-99,-99,51,46,-99,-99,60,42,59,54,48,-99,49,37
01/01/2018,21,41,45,44,59,-99,-99,20,28,19,-99,47,39,-99,-99,-99,46,32,-99,-99,75,33,-99,38,31,-99,33,46
01/01/2018,22,21,30,19,29,-99,-99,28,15,17,-99,26,30,-99,-99,-99,29,27,-99,-99,34,24,-99,19,9,-99,18,36
01/01/2018,23,12,29,23,20,-99,-99,21,-99,4,-99,17,28,-99,-99,-99,20,20,-99,-99,31,29,-99,31,18,-99,10,9
01/01/2018,24,17,28,9,14,-99,-99,22,-99,2,-99,18,25,-99,-99,-99,14,22,-99,-99,-99,28,-99,24,4,-99,17,-99
02/01/2018,1,26,32,13,20,-99,-99,29,-99,3,-99,23,26,-99,-99,-99,20,18,-99,-99,-99,29,-99,10,1,-99,-99,16
02/01/2018,2,26,27,-99,19,-99,-99,37,-99,-99,-99,14,33,-99,-99,-99,18,20,-99,-99,-99,31,-99,21,-99,-99,-99,33
02/01/2018,3,25,22,9,17,-99,-99,25,7,-99,-99,14,33,-99,-99,-99,17,16,-99,-99,-99,32,-99,10,-99,-99,1,38
02/01/2018,4,26,25,3,18,-99,-99,27,10,9,-99,23,33,-99,-99,-99,26,23,-99,-99,-99,29,-99,21,-99,-99,8,24
02/01/2018,5,27,17,13,18,-99,-99,26,18,7,-99,21,28,-99,-99,-99,21,23,-99,-99,37,30,13,20,-99,-99,14,33
02/01/2018,6,33,24,17,25,-99,-99,27,19,13,-99,22,24,-99,-99,-99,22,21,-99,-99,38,29,13,25,5,-99,24,51
02/01/2018,7,29,30,32,29,-99,-99,29,50,17,-99,28,24,-99,-99,-99,19,27,-99,-99,40,34,14,35,24,-99,43,94
02/01/2018,8,27,29,50,33,-99,-99,46,124,48,-99,30,24,-99,-99,-99,43,34,-99,-99,44,39,66,42,52,-99,48,104
02/01/2018,9,41,43,71,57,-99,-99,48,245,85,-99,45,19,-99,-99,-99,46,39,-99,-99,50,44,38,44,49,-99,50,129
02/01/2018,10,41,45,45,61,-99,-99,55,44,26,-99,68,32,-99,-99,-99,51,54,-99,-99,54,48,60,49,82,-99,60,82
02/01/2018,11,40,51,52,57,-99,-99,51,39,48,-99,71,34,-99,-99,-99,58,86,-99,-99,57,59,56,74,120,-99,51,84
02/01/2018,12,49,61,79,79,-99,-99,55,91,65,-99,70,35,-99,-99,-99,56,81,-99,-99,73,73,55,79,105,-99,89,84
