FECHA,Zona,PromDiario,Max,Min,indice,clase
2019-03-01,CE,59.0,125.0,23.0,76.941,Regular
2019-03-01,NE,94.0,215.0,22.0,107.391,Mala
2019-03-01,NO,75.0,193.0,21.0,100.0,Regular
2019-03-01,SE,56.0,111.0,8.0,72.618,Regular
2019-03-01,SO,38.0,85.0,3.0,47.5,Buena
2019-03-02,CE,60.0,109.0,35.0,78.382,Regular
2019-03-02,NE,76.0,184.0,25.0,101.0,Mala
2019-03-02,NO,58.0,138.0,10.0,75.5,Regular
2019-03-02,SE,62.0,104.0,36.0,81.265,Regular
2019-03-02,SO,38.0,65.0,14.0,47.5,Buena
2019-03-03,CE,50.0,83.0,29.0,63.971,Regular
2019-03-03,NE,65.0,132.0,30.0,85.588,Regular
2019-03-03,NO,47.0,116.0,10.0,59.647,Regular
2019-03-03,SE,56.0,113.0,32.0,72.618,Regular
2019-03-03,SO,32.0,75.0,14.0,40.0,Buena
2019-03-04,CE,52.0,93.0,24.0,66.853,Regular
2019-03-04,NE,72.0,180.0,30.0,95.676,Regular
2019-03-04,NO,61.0,123.0,19.0,79.824,Regular
2019-03-04,SE,56.0,79.0,33.0,72.618,Regular
2019-03-04,SO,39.0,81.0,15.0,48.75,Buena
2019-03-05,CE,51.0,90.0,23.0,65.412,Regular
2019-03-05,NE,58.0,101.0,28.0,75.5,Regular
2019-03-05,NO,59.0,123.0,6.0,76.941,Regular
2019-03-05,SE,61.0,116.0,6.0,79.824,Regular
2019-03-05,SO,42.0,77.0,19.0,52.441,Regular
2019-03-06,CE,23.0,42.0,8.0,28.75,Buena
2019-03-06,NE,18.0,35.0,5.0,22.5,Buena
2019-03-06,NO,21.0,54.0,1.0,26.25,Buena
2019-03-06,SE,32.0,66.0,2.0,40.0,Buena
2019-03-06,SO,17.0,48.0,5.0,21.25,Buena
2019-03-07,CE,22.0,68.0,1.0,27.5,Buena
2019-03-07,NE,27.0,69.0,4.0,33.75,Buena
2019-03-07,NO,30.0,57.0,12.0,37.5,Buena
2019-03-07,SE,29.0,72.0,2.0,36.25,Buena
2019-03-07,SO,26.0,55.0,1.0,32.5,Buena
2019-03-08,CE,27.0,58.0,5.0,33.75,Buena
2019-03-08,NE,38.0,143.0,11.0,47.5,Buena
2019-03-08,NO,35.0,116.0,10.0,43.75,Buena
2019-03-08,SE,32.0,73.0,5.0,40.0,Buena
2019-03-08,SO,24.0,85.0,6.0,30.0,Buena
2019-03-09,CE,26.0,63.0,3.0,32.5,Buena
2019-03-09,NE,30.0,62.0,7.0,37.5,Buena
2019-03-09,NO,29.0,73.0,7.0,36.25,Buena
2019-03-09,SE,36.0,116.0,15.0,45.0,Buena
2019-03-09,SO,23.0,54.0,9.0,28.75,Buena
2019-03-10,CE,22.0,70.0,8.0,27.5,Buena
2019-03-10,NE,28.0,103.0,9.0,35.0,Buena
2019-03-10,NO,30.0,98.0,7.0,37.5,Buena
2019-03-10,SE,28.0,86.0,6.0,35.0,Buena
2019-03-10,SO,16.0,49.0,3.0,20.0,Buena
2019-03-11,CE,21.0,46.0,5.0,26.25,Buena
2019-03-11,NE,22.0,47.0,1.0,27.5,Buena
2019-03-11,NO,23.0,52.0,1.0,28.75,Buena
2019-03-11,SE,22.0,57.0,3.0,27.5,Buena
2019-03-11,SO,16.0,40.0,1.0,20.0,Buena
2019-03-12,CE,47.0,95.0,19.0,59.647,Regular
2019-03-12,NE,62.0,151.0,9.0,81.265,Regular
2019-03-12,NO,54.0,149.0,3.0,69.735,Regular
2019-03-12,SE,59.0,140.0,15.0,76.941,Regular
2019-03-12,SO,34.0,95.0,7.0,42.5,Buena
2019-03-13,CE,54.0,111.0,23.0,69.735,Regular
2019-03-13,NE,70.0,162.0,31.0,92.794,Regular
2019-03-13,NO,61.0,160.0,18.0,79.824,Regular
2019-03-13,SE,57.0,106.0,19.0,74.059,Regular
2019-03-13,SO,34.0,74.0,8.0,42.5,Buena
2019-03-14,CE,58.0,96.0,38.0,75.5,Regular
2019-03-14,NE,79.0,238.0,36.0,102.065,Mala
2019-03-14,NO,73.0,177.0,17.0,97.118,Regular
2019-03-14,SE,63.0,96.0,28.0,82.706,Regular
2019-03-14,SO,45.0,105.0,21.0,56.765,Regular
2019-03-15,CE,62.0,104.0,33.0,81.265,Regular
2019-03-15,NE,71.0,168.0,26.0,94.235,Regular
2019-03-15,NO,69.0,245.0,24.0,91.353,Regular
2019-03-15,SE,66.0,115.0,29.0,87.029,Regular
2019-03-15,SO,52.0,114.0,23.0,66.853,Regular
2019-03-16,CE,51.0,96.0,29.0,65.412,Regular
2019-03-16,NE,59.0,120.0,28.0,76.941,Regular
2019-03-16,NO,55.0,130.0,10.0,71.176,Regular
2019-03-16,SE,56.0,167.0,29.0,72.618,Regular
2019-03-16,SO,43.0,95.0,17.0,53.882,Regular
2019-03-17,CE,51.0,83.0,31.0,65.412,Regular
2019-03-17,NE,58.0,125.0,20.0,75.5,Regular
2019-03-17,NO,44.0,89.0,10.0,55.324,Regular
2019-03-17,SE,58.0,109.0,36.0,75.5,Regular
2019-03-17,SO,43.0,97.0,17.0,53.882,Regular
2019-03-18,CE,39.0,59.0,23.0,48.75,Buena
2019-03-18,NE,47.0,96.0,19.0,59.647,Regular
2019-03-18,NO,41.0,82.0,7.0,51.0,Regular
2019-03-18,SE,43.0,80.0,20.0,53.882,Regular
2019-03-18,SO,32.0,56.0,15.0,40.0,Buena
2019-03-19,CE,41.0,82.0,17.0,51.0,Regular
2019-03-19,NE,56.0,152.0,18.0,72.618,Regular
2019-03-19,NO,50.0,115.0,18.0,63.971,Regular
2019-03-19,SE,42.0,77.0,25.0,52.441,Regular
2019-03-19,SO,32.0,86.0,11.0,40.0,Buena
