FECHA,HORA,AJM,AJU,BJU,CAM,CCA,COY,CUA,CUT,FAC,GAM,HGM,INN,MER,MGH,MON,MPA,NEZ,PED,SAG,SFE,SJA,TLA,UAX,UIZ,XAL
01/01/2018,1,65,49,56,-99,80,-99,-99,-99,-99,66,68,37,66,70,-99,-99,107,-99,69,62,-99,63,112,-99,36
01/01/2018,2,72,76,55,-99,77,-99,-99,-99,-99,66,64,35,69,52,-99,-99,108,-99,86,42,-99,80,91,-99,32
01/01/2018,3,62,70,66,-99,67,-99,-99,-99,-99,120,73,32,75,61,-99,-99,125,-99,71,36,-99,105,59,-99,31
01/01/2018,4,44,56,72,-99,60,-99,-99,-99,-99,93,84,24,82,69,-99,-99,114,-99,63,35,-99,83,66,-99,42
01/01/2018,5,37,42,56,-99,57,-99,-99,-99,-99,88,78,19,78,55,-99,-99,103,-99,74,34,-99,43,82,-99,76
01/01/2018,6,36,41,52,-99,55,-99,-99,-99,-99,104,47,20,55,53,-99,-99,117,-99,55,32,-99,71,101,-99,71
01/01/2018,7,58,35,47,-99,53,-99,-99,-99,-99,103,60,17,56,59,-99,-99,87,-99,29,22,-99,54,166,-99,70
01/01/2018,8,82,33,44,-99,69,-99,-99,-99,-99,76,56,15,53,57,-99,-99,72,-99,44,28,-99,42,112,-99,81
01/01/2018,9,81,30,46,-99,79,-99,-99,-99,-99,74,53,14,-99,51,-99,-99,56,-99,54,51,-99,53,85,-99,63
01/01/2018,10,79,25,59,-99,79,-99,-99,-99,-99,76,72,19,54,53,-99,-99,56,-99,29,56,-99,44,52,-99,85
01/01/2018,11,84,30,67,-99,57,-99,-99,-99,-99,77,61,39,79,70,-99,-99,68,-99,49,40,-99,49,47,-99,82
01/01/2018,12,71,72,69,-99,60,-99,-99,-99,-99,77,68,50,71,74,-99,-99,62,-99,37,39,-99,62,56,-99,70
01/01/2018,13,60,72,65,-99,66,-99,-99,-99,-99,50,71,48,68,65,-99,-99,47,-99,26,45,-99,56,59,-99,26
01/01/2018,14,52,67,73,-99,62,-99,-99,-99,-99,32,63,48,64,66,-99,-99,31,-99,35,50,-99,44,63,-99,29
01/01/2018,15,53,68,56,-99,70,-99,-99,-99,-99,29,44,49,55,64,-99,-99,18,-99,14,59,-99,27,46,-99,22
01/01/2018,16,50,58,53,-99,44,-99,-99,-99,-99,25,36,58,46,52,-99,-99,21,-99,32,62,-99,33,36,-99,23
01/01/2018,17,40,64,38,-99,41,-99,-99,-99,-99,23,40,71,13,35,-99,-99,22,-99,25,53,-99,18,32,-99,18
01/01/2018,18,43,50,21,-99,47,-99,-99,-99,-99,19,21,70,25,25,-99,-99,19,-99,11,40,-99,12,30,-99,13
01/01/2018,19,37,50,19,-99,27,-99,-99,-99,-99,18,11,54,15,18,-99,-99,19,-99,15,22,-99,8,38,-99,10
01/01/2018,20,20,37,12,-99,20,-99,-99,-99,-99,16,12,29,12,18,-99,-99,16,-99,13,15,-99,10,37,-99,1
01/01/2018,21,18,21,9,-99,21,-99,-99,-99,-99,13,9,22,6,11,-99,-99,15,-99,10,14,-99,9,24,-99,3
01/01/2018,22,14,12,7,-99,11,-99,-99,-99,-99,11,9,20,4,14,-99,-99,17,-99,15,13,-99,6,8,-99,15
01/01/2018,23,16,5,11,-99,18,-99,-99,-99,-99,13,9,19,8,13,-99,-99,19,-99,20,19,-99,17,10,-99,2
01/01/2018,24,17,5,8,-99,10,-99,-99,-99,-99,7,9,19,4,16,-99,-99,17,-99,-99,17,-99,11,13,-99,-99
02/01/2018,1,20,10,12,-99,7,-99,-99,-99,-99,7,13,21,9,11,-99,-99,11,-99,-99,19,-99,1,13,-99,3
02/01/2018,2,17,21,12,-99,14,-99,-99,-99,-99,6,8,27,10,14,-99,-99,14,-99,-99,21,-99,11,12,-99,16
02/01/2018,3,13,19,10,-99,17,-99,-99,-99,-99,8,9,27,9,9,-99,-99,12,-99,-99,23,-99,3,19,-99,19
02/01/2018,4,17,18,11,-99,12,-99,-99,-99,-99,9,15,24,17,15,-99,-99,11,-99,-99,22,-99,13,38,-99,8
02/01/2018,5,8,15,10,-99,21,-99,-99,-99,-99,10,14,21,13,15,-99,-99,11,-99,24,23,-99,14,25,-99,9
02/01/2018,6,15,23,15,-99,19,-99,-99,-99,-99,11,12,18,11,12,-99,-99,10,-99,23,23,-99,15,19,-99,13
02/01/2018,7,19,20,18,-99,19,-99,-99,-99,-99,24,19,18,5,18,-99,-99,17,-99,19,23,-99,17,32,-99,32
02/01/2018,8,21,20,16,-99,23,-99,-99,-99,-99,21,18,18,19,22,-99,-99,19,-99,22,27,-99,20,46,-99,31
02/01/2018,9,24,20,23,-99,20,-99,-99,-99,-99,22,22,14,21,22,-99,-99,25,-99,21,27,-99,21,21,-99,40
02/01/2018,10,27,18,29,-99,19,-99,-99,-99,-99,22,37,25,18,31,-99,-99,26,-99,12,30,-99,27,24,-99,33
02/01/2018,11,29,-99,28,-99,30,-99,-99,-99,-99,25,49,23,30,48,-99,-99,28,-99,32,36,-99,38,24,-99,27
02/01/2018,12,35,22,49,-99,35,-99,-99,-99,-99,32,51,23,29,51,-99,-99,42,-99,31,40,-99,40,25,-99,30
02/01/2018,13,30,29,44,-99,34,-99,-99,-99,-99,36,56,32,36,49,-99,-99,44,-99,35,44,-99,29,20,-99,27
02/01/2018,14,31,26,34,-99,27,-99,-99,-99,-99,28,33,33,17,43,-99,-99,81,-99,31,33,-99,34,20,-99,36
02/01/2018,15,34,26,29,-99,21,-99,-99,-99,-99,23,21,33,6,31,-99,-99,71,-99,17,31,-99,33,16,-99,26
02/01/2018,16,28,28,21,-99,26,-99,-99,-99,-99,23,33,34,32,26,-99,-99,45,-99,37,27,-99,30,11,-99,22
02/01/2018,17,27,29,27,-99,23,-99,-99,-99,-99,30,25,30,25,28,-99,-99,48,-99,26,30,-99,28,25,-99,29
02/01/2018,18,30,30,32,-99,32,-99,-99,-99,-99,37,17,22,32,30,-99,-99,57,-99,43,29,-99,29,34,-99,26
02/01/2018,19,28,30,31,-99,30,-99,-99,-99,-99,31,23,20,20,37,-99,-99,35,-99,31,40,-99,34,37,-99,33
02/01/2018,20,28,24,34,-99,32,-99,-99,-99,-99,26,28,30,22,38,-99,-99,22,-99,30,38,-99,36,30,-99,38
02/01/2018,21,32,24,39,-99,28,-99,-99,-99,-99,24,32,28,28,39,-99,-99,21,-99,29,39,-99,49,33,-99,39
02/01/2018,22,31,22,46,-99,34,-99,-99,-99,-99,31,38,26,36,38,-99,-99,27,-99,40,33,-99,47,31,-99,39
02/01/2018,23,33,17,40,-99,40,-99,-99,-99,-99,42,43,21,15,34,-99,-99,30,-99,37,27,-99,44,34,-99,49
02/01/2018,24,25,14,36,-99,38,-99,-99,-99,-99,42,43,22,37,33,-99,-99,30,-99,39,24,-99,43,34,-99,35
03/01/2018,1,23,14,40,-99,42,-99,-99,-99,-99,37,44,20,33,30,-99,-99,39,-99,43,29,-99,40,39,-99,37
03/01/2018,2,28,17,37,-99,36,-99,-99,-99,-99,40,37,23,32,28,-99,-99,45,-99,53,33,-99,32,45,-99,41
03/01/2018,3,27,18,30,-99,35,-99,-99,-99,-99,43,33,29,26,33,-99,-99,52,-99,54,32,-99,37,41,-99,55
03/01/2018,4,20,17,32,-99,31,-99,-99,-99,-99,44,37,30,29,37,-99,-99,48,-99,44,30,-99,37,47,-99,52
03/01/2018,5,25,17,40,-99,30,-99,-99,-99,-99,40,37,28,26,41,-99,-99,50,-99,31,29,-99,37,43,-99,42
03/01/2018,6,26,15,36,-99,30,-99,-99,-99,-99,39,33,27,30,52,-99,-99,44,-99,41,31,-99,38,39,-99,54
03/01/2018,7,25,24,38,-99,32,-99,-99,-99,-99,36,35,23,27,46,-99,-99,44,-99,46,29,-99,39,43,-99,66
03/01/2018,8,24,26,38,-99,25,-99,-99,-99,-99,39,39,21,37,46,-99,-99,39,-99,33,29,-99,32,44,-99,73
03/01/2018,9,30,38,43,-99,31,-99,-99,-99,-99,40,49,30,45,52,-99,-99,41,-99,37,31,-99,45,37,-99,69
03/01/2018,10,34,38,52,-99,40,-99,-99,-99,-99,49,61,24,38,57,-99,-99,58,-99,40,33,-99,44,36,-99,84
03/01/2018,11,34,15,51,-99,46,-99,-99,-99,-99,65,70,21,-99,59,-99,-99,63,-99,47,30,-99,52,38,-99,60
03/01/2018,12,34,22,38,-99,32,-99,-99,-99,-99,57,54,22,-99,45,-99,-99,57,-99,39,28,-99,42,25,-99,64
03/01/2018,13,26,24,35,-99,22,-99,-99,-99,-99,60,29,26,-99,33,-99,-99,29,-99,41,19,-99,27,8,-99,47
03/01/2018,14,28,23,34,-99,23,-99,-99,-99,-99,58,25,31,-99,33,-99,-99,22,-99,28,27,-99,26,8,-99,39
03/01/2018,15,29,33,35,-99,29,-99,-99,-99,-99,40,55,29,44,41,-99,-99,33,-99,28,29,-99,42,18,-99,31
03/01/2018,16,40,34,44,-99,41,-99,-99,-99,-99,40,43,34,32,45,-99,-99,30,-99,33,31,-99,31,28,-99,34
03/01/2018,17,36,43,41,-99,38,-99,-99,-99,-99,42,29,40,32,40,-99,-99,35,-99,35,34,-99,45,46,-99,35
03/01/2018,18,40,39,38,-99,47,-99,-99,-99,-99,42,31,38,31,40,-99,-99,36,-99,20,37,-99,22,40,-99,37
03/01/2018,19,38,35,34,-99,43,-99,-99,-99,-99,33,27,37,44,34,-99,-99,62,-99,29,39,-99,12,50,-99,29
03/01/2018,20,30,33,27,-99,38,-99,-99,-99,-99,25,21,38,26,29,-99,-99,49,-99,31,26,-99,29,40,-99,19
03/01/2018,21,31,23,25,-99,35,-99,-99,-99,-99,27,23,34,23,29,-99,-99,25,-99,29,28,-99,23,30,-99,25
03/01/2018,22,31,26,29,-99,30,-99,-99,-99,-99,31,31,35,30,34,-99,-99,34,-99,31,26,-99,32,38,-99,22
03/01/2018,23,29,31,35,-99,35,-99,-99,-99,-99,37,32,33,31,36,-99,-99,38,-99,32,32,-99,33,32,-99,25
03/01/2018,24,23,32,34,-99,31,-99,-99,-99,-99,48,29,25,47,33,-99,-99,45,-99,41,26,-99,28,38,-99,41
