FECHA,Zona,PromDiario,Max,Min,indice,clase
2019-03-01,CE,27.8,55.0,8.0,74.383,Regular
2019-03-01,NE,32.2,62.0,1.0,80.936,Regular
2019-03-01,NO,35.1,61.0,12.0,85.255,Regular
2019-03-01,SE,24.4,47.0,6.0,69.319,Regular
2019-03-01,SO,20.5,49.0,1.0,63.511,Regular
2019-03-02,CE,30.5,64.0,6.0,78.404,Regular
2019-03-02,NE,30.5,62.0,9.0,78.404,Regular
2019-03-02,NO,25.0,39.0,6.0,70.213,Regular
2019-03-02,SE,29.4,61.0,10.0,76.766,Regular
2019-03-02,SO,21.6,43.0,4.0,65.149,Regular
2019-03-03,CE,24.6,38.0,11.0,69.617,Regular
2019-03-03,NE,25.3,53.0,6.0,70.66,Regular
2019-03-03,NO,18.4,28.0,12.0,60.383,Regular
2019-03-03,SE,26.3,38.0,12.0,72.149,Regular
2019-03-03,SO,17.6,30.0,6.0,59.191,Regular
2019-03-04,CE,26.3,55.0,3.0,72.149,Regular
2019-03-04,NE,30.2,54.0,10.0,77.957,Regular
2019-03-04,NO,29.1,60.0,1.0,76.319,Regular
2019-03-04,SE,31.0,51.0,10.0,79.149,Regular
2019-03-04,SO,21.6,46.0,9.0,65.149,Regular
2019-03-05,CE,30.0,59.0,13.0,77.66,Regular
2019-03-05,NE,31.7,63.0,2.0,80.191,Regular
2019-03-05,NO,32.5,48.0,18.0,81.383,Regular
2019-03-05,SE,32.2,45.0,18.0,80.936,Regular
2019-03-05,SO,25.5,51.0,9.0,70.957,Regular
2019-03-06,CE,10.4,24.0,2.0,43.333,Buena
2019-03-06,NE,7.8,19.0,2.0,32.5,Buena
2019-03-06,SE,8.6,28.0,1.0,35.833,Buena
2019-03-06,SO,8.1,27.0,1.0,33.75,Buena
2019-03-07,CE,13.3,51.0,2.0,52.787,Regular
2019-03-07,NE,12.5,37.0,1.0,51.596,Regular
2019-03-07,NO,16.2,33.0,9.0,57.106,Regular
2019-03-07,SE,13.8,27.0,2.0,53.532,Regular
2019-03-07,SO,14.6,34.0,1.0,54.723,Regular
2019-03-08,CE,16.0,33.0,4.0,56.809,Regular
2019-03-08,NE,16.3,41.0,1.0,57.255,Regular
